S.N.,Open,High,Low,Close,Change,% Change,Turnover,Date
178,"2,708.23","2,721.58","2,697.64","2,706.36",2.4,0.08,"9,500,003,268.95",7/6/2025
179,"2,700.13","2,716.93","2,685.77","2,703.96",9.14,0.33,"9,645,550,680.17",7/3/2025
180,"2,667.58","2,696.13","2,661.37","2,694.82",34.42,1.29,"9,744,843,375.86",7/2/2025
181,"2,633.05","2,663.24","2,632.19","2,660.39",28.91,1.09,"7,033,050,286.60",7/1/2025
182,"2,627.51","2,638.72","2,622.50","2,631.48",9.19,0.35,"6,387,207,015.18",6/30/2025
183,"2,594.97","2,626.21","2,594.23","2,622.28",26.53,1.02,"7,121,736,114.17",6/29/2025
184,"2,599.84","2,617.65","2,594.71","2,595.74",-4.45,-0.17,"7,780,159,283.42",6/26/2025
185,"2,601.03","2,607.71","2,594.34","2,600.20",-0.33,-0.01,"5,942,852,256.20",6/25/2025
186,"2,603.46","2,629.26","2,599.72","2,600.53",-0.22,0,"5,767,895,001.14",6/24/2025
187,"2,598.83","2,608.56","2,584.47","2,600.76",4.78,0.18,"6,471,952,677.99",6/23/2025
188,"2,628.83","2,631.82","2,594.01","2,595.97",-32.93,-1.25,"9,145,858,510.43",6/22/2025
189,"2,650.96","2,661.33","2,628.27","2,628.91",-24.76,-0.93,"11,231,489,964.79",6/19/2025
190,"2,654.50","2,662.69","2,649.78","2,653.68",-1.07,-0.04,"9,085,886,877.10",6/18/2025
191,"2,659.27","2,670.25","2,649.60","2,654.75",-3.9,-0.14,"7,653,249,312.88",6/17/2025
192,"2,652.13","2,679.74","2,652.13","2,658.66",2.8,0.1,"13,186,945,742.15",6/16/2025
193,"2,654.61","2,667.68","2,653.43","2,655.85",0.47,0.01,"11,443,272,636.94",6/15/2025
194,"2,665.23","2,672.42","2,654.69","2,655.38",-9.08,-0.34,"12,515,308,961.61",6/12/2025
195,"2,677.52","2,686.45","2,660.86","2,664.47",-13.69,-0.51,"9,907,005,575.07",6/11/2025
196,"2,654.08","2,683.25","2,653.57","2,678.17",25.07,0.94,"10,160,981,076.17",6/10/2025
197,"2,629.22","2,657.34","2,627.76","2,653.09",23.19,0.88,"8,689,350,319.62",6/9/2025
198,"2,639.24","2,645.22","2,626.39","2,629.89",-11.06,-0.41,"9,137,414,918.93",6/8/2025
199,"2,643.84","2,661.77","2,635.30","2,640.96",-5.99,-0.22,"7,970,886,663.46",6/5/2025
200,"2,660.21","2,664.59","2,641.07","2,646.95",-11.97,-0.45,"5,163,334,522.53",6/4/2025
201,"2,694.04","2,699.28","2,656.34","2,658.93",-35.73,-1.32,"6,679,561,324.54",6/3/2025
202,"2,715.99","2,726.60","2,686.93","2,694.66",1.6,0.05,"9,226,322,933.09",6/2/2025
203,"2,675.60","2,696.78","2,666.50","2,693.06",17.44,0.65,"8,586,004,334.25",5/28/2025
204,"2,674.15","2,684.77","2,655.29","2,675.62",0.85,0.03,"6,527,839,581.54",5/27/2025
